net,length_um
ram\[26\]\[1\],10.96
net297,10.96
_0981_,10.94
_0676_,10.9
_0912_,10.9
ram\[1\]\[1\],10.88
_1234_,10.86
ram\[19\]\[4\],10.86
ram\[41\]\[0\],10.86
ram\[57\]\[6\],10.86
ram\[9\]\[6\],10.86
ram\[9\]\[7\],10.84
_0042_,10.825
_0569_,10.82
_1654_,10.82
ram\[19\]\[6\],10.82
ram\[23\]\[0\],10.82
ram\[47\]\[7\],10.82
ram\[52\]\[2\],10.82
_0759_,10.8
_0969_,10.8
_0890_,10.78
_1090_,10.78
_1428_,10.78
_1500_,10.78
_1555_,10.78
ram\[44\]\[1\],10.78
ram\[33\]\[6\],10.76
_1205_,10.74
_1611_,10.74
_0996_,10.72
ram\[8\]\[4\],10.7
net242,10.68
_1203_,10.66
ram\[48\]\[3\],10.635
ram\[19\]\[2\],10.62
ram\[1\]\[7\],10.62
ram\[21\]\[2\],10.62
ram\[33\]\[5\],10.62
ram\[52\]\[0\],10.62
ram\[46\]\[5\],10.61
_0384_,10.605
net230,10.6
net199,10.58
net372,10.58
_0331_,10.565
_0477_,10.565
_0513_,10.565
net141,10.56
net261,10.56
ram\[41\]\[1\],10.54
ram\[22\]\[1\],10.5
ram\[59\]\[5\],10.5
_1121_,10.44
net464,10.44
ram\[16\]\[7\],10.42
_1148_,10.4
ram\[9\]\[5\],10.4
ram\[18\]\[7\],10.38
ram\[25\]\[5\],10.38
ram\[25\]\[7\],10.38
_0186_,10.365
_0258_,10.365
ram\[26\]\[3\],10.36
ram\[27\]\[6\],10.36
ram\[9\]\[0\],10.36
net410,10.34
_0330_,10.325
ram\[58\]\[3\],10.325
_0751_,10.32
ram\[62\]\[7\],10.31
_1430_,10.28
net528,10.28
ram\[22\]\[7\],10.245
ram\[8\]\[2\],10.24
_1133_,10.2
_1262_,10.2
ram\[0\]\[3\],10.2
ram\[1\]\[0\],10.2
ram\[57\]\[3\],10.2
net254,10.18
net456,10.18
ram\[10\]\[4\],10.16
ram\[23\]\[3\],10.16
net170,10.16
_0381_,10.14
_1210_,10.14
net514,10.14
q[5],10.13
_1551_,10.1
_1630_,10.1
_1710_,10.08
ram\[47\]\[4\],10.08
_0730_,10.04
net32,10.04
_0752_,10.02
net229,10
net337,9.98
_1227_,9.96
_0893_,9.94
_1397_,9.94
_1621_,9.94
net274,9.94
ram\[10\]\[0\],9.92
_0113_,9.905
ram\[45\]\[4\],9.9
ram\[47\]\[0\],9.9
ram\[34\]\[2\],9.865
_0997_,9.86
_1670_,9.86
ram\[48\]\[1\],9.86
net218,9.86
_0939_,9.82
_1580_,9.82
ram\[10\]\[5\],9.82
ram\[22\]\[3\],9.82
ram\[58\]\[6\],9.8
_0370_,9.785
_0597_,9.78
_1448_,9.78
net373,9.78
_1173_,9.76
_1306_,9.76
_1512_,9.76
ram\[7\]\[7\],9.74
ram\[9\]\[4\],9.74
net114,9.74
_0011_,9.7
_1658_,9.7
ram\[44\]\[6\],9.7
net176,9.68
_0066_,9.665
net27,9.66
_1503_,9.64
_0345_,9.605
_0914_,9.6
net307,9.6
_0002_,9.58
_1344_,9.58
ram\[55\]\[3\],9.58
ram\[19\]\[3\],9.54
_0975_,9.53
_0844_,9.52
_1579_,9.52
_0410_,9.505
ram\[48\]\[7\],9.5
ram\[49\]\[1\],9.5
ram\[34\]\[1\],9.485
_1126_,9.48
ram\[6\]\[4\],9.48
_0826_,9.46
q[4],9.45
_0107_,9.445
_0691_,9.44
ram\[17\]\[4\],9.44
ram\[39\]\[7\],9.44
_1346_,9.42
_1454_,9.42
_1463_,9.42
_1622_,9.42
_0887_,9.4
ram\[36\]\[4\],9.4
net138,9.4
_0303_,9.385
_0955_,9.36
_1098_,9.36
_1342_,9.36
_1482_,9.36
_1495_,9.36
_1640_,9.36
ram\[29\]\[7\],9.36
_0836_,9.32
_1468_,9.32
_1364_,9.3
ram\[39\]\[4\],9.28
ram\[5\]\[6\],9.28
ram\[7\]\[0\],9.28
_1598_,9.26
_1650_,9.26
ram\[48\]\[0\],9.26
ram\[49\]\[0\],9.24
_0308_,9.225
net67,9.22
net392,9.22
net504,9.22
_0281_,9.205
ram\[55\]\[0\],9.2
ram\[9\]\[1\],9.16
_0296_,9.145
ram\[10\]\[2\],9.135
ram\[5\]\[3\],9.12
ram\[46\]\[3\],9.11
_1618_,9.1
net100,9.1
_1018_,9.08
_1422_,9.06
ram\[30\]\[2\],9.05
ram\[22\]\[5\],9.045
ram\[54\]\[0\],9.045
_1057_,9.04
_1331_,9.02
ram\[57\]\[4\],9.02
ram\[6\]\[2\],9.02
net399,9.02
ram\[46\]\[1\],9.01
_0894_,9
_0188_,8.985
_0895_,8.98
_1000_,8.98
ram\[22\]\[4\],8.98
ram\[41\]\[2\],8.98
ram\[42\]\[1\],8.98
ram\[18\]\[0\],8.94
q[3],8.93
_0700_,8.9
_0938_,8.9
_1088_,8.9
_1116_,8.9
_1230_,8.9
_1301_,8.9
_1466_,8.9
_1599_,8.9
_1676_,8.9
ram\[49\]\[5\],8.9
_0630_,8.86
_1009_,8.86
_1152_,8.86
_1233_,8.86
_1252_,8.86
_1553_,8.86
_1649_,8.86
ram\[32\]\[7\],8.86
net309,8.86
addr[2],8.84
data[6],8.84
_1208_,8.82
ram\[17\]\[6\],8.82
ram\[59\]\[0\],8.82
ram\[17\]\[7\],8.8
net239,8.8
net452,8.8
ram\[17\]\[1\],8.78
ram\[27\]\[0\],8.78
ram\[44\]\[0\],8.78
ram\[60\]\[6\],8.78
net291,8.78
_0663_,8.76
_1723_,8.76
net530,8.76
_1160_,8.74
net193,8.74
_0279_,8.725
addr[0],8.72
addr[1],8.72
data[2],8.72
data[3],8.72
data[4],8.72
data[5],8.72
net282,8.72
